PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
2543587,352.48800000000006,4.786140000000003,0.0,6.0,43.6,4.0,4.0,2.0,2.0,0.0,6.0,4.0,24.0,0.0,0.0,0.0,120.0,0.0,2.0,0.0,0
645493,492.6240000000004,4.001140000000003,1.0,8.0,106.0,6.0,3.0,1.0,2.0,2.0,9.0,5.0,36.0,2.0,1.0,1.0,192.0,0.0,3.0,0.0,0
3234399,410.4550000000002,3.362300000000002,0.0,9.0,88.36000000000001,7.0,4.0,1.0,3.0,0.0,9.0,4.0,29.0,0.0,0.0,0.0,148.0,0.0,3.0,0.0,0
2672846,344.39200000000005,2.9354000000000013,1.0,4.0,79.62,4.0,3.0,2.0,1.0,0.0,7.0,3.0,24.0,0.0,0.0,0.0,124.0,0.0,1.0,1.0,0
1972861,389.48,3.8323800000000015,0.0,5.0,56.57,3.0,2.0,2.0,0.0,1.0,6.0,4.0,28.0,2.0,0.0,2.0,140.0,0.0,2.0,1.0,0
3233891,335.3670000000001,1.9916,0.0,7.0,74.83,4.0,4.0,1.0,3.0,0.0,7.0,4.0,25.0,0.0,0.0,0.0,126.0,0.0,3.0,0.0,0
2999437,416.4620000000001,3.6876000000000015,1.0,6.0,83.78,5.0,4.0,2.0,2.0,0.0,8.0,5.0,30.0,1.0,0.0,1.0,148.0,0.0,3.0,3.0,0
3233839,292.342,3.159300000000001,1.0,5.0,59.93,5.0,3.0,1.0,2.0,0.0,5.0,3.0,22.0,0.0,0.0,0.0,110.0,0.0,2.0,0.0,0
655629,239.25200000000004,1.8757,2.0,4.0,79.53,4.0,2.0,0.0,2.0,0.0,6.0,2.0,16.0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0
650976,429.46900000000016,2.576900000000001,2.0,8.0,111.16,5.0,1.0,1.0,0.0,0.0,8.0,3.0,31.0,2.0,1.0,1.0,166.0,0.0,1.0,0.0,0
3234162,351.4100000000002,2.4643,1.0,7.0,81.93,5.0,3.0,1.0,2.0,1.0,7.0,4.0,26.0,1.0,0.0,1.0,134.0,0.0,3.0,0.0,0
664125,363.44600000000014,3.0681800000000017,1.0,6.0,86.84,2.0,3.0,1.0,2.0,1.0,7.0,5.0,26.0,2.0,2.0,0.0,130.0,1.0,2.0,0.0,0
651867,289.33500000000004,1.1193,2.0,6.0,80.72999999999999,4.0,2.0,1.0,1.0,1.0,6.0,3.0,21.0,1.0,0.0,1.0,112.0,0.0,2.0,0.0,0
5309793,409.57700000000017,3.166120000000001,1.0,5.0,79.36999999999999,5.0,2.0,1.0,1.0,1.0,8.0,3.0,27.0,1.0,0.0,1.0,148.0,0.0,2.0,1.0,0
2159405,350.4000000000001,1.0187999999999997,1.0,8.0,95.34,7.0,2.0,1.0,1.0,0.0,9.0,2.0,24.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0
2232224,270.332,3.512800000000002,1.0,3.0,51.22,6.0,2.0,1.0,1.0,0.0,4.0,2.0,20.0,0.0,0.0,0.0,104.0,0.0,1.0,1.0,0
656105,429.52500000000015,2.1573200000000003,1.0,8.0,92.65,5.0,3.0,1.0,2.0,1.0,10.0,4.0,30.0,1.0,0.0,1.0,158.0,0.0,3.0,1.0,0
118380769,344.80600000000004,3.4663000000000013,4.0,4.0,108.72,4.0,3.0,1.0,2.0,0.0,8.0,3.0,24.0,0.0,0.0,0.0,124.0,0.0,2.0,2.0,1
645546,408.48100000000017,2.4493,1.0,6.0,75.94,7.0,3.0,2.0,1.0,1.0,8.0,4.0,30.0,1.0,0.0,1.0,156.0,0.0,2.0,1.0,0
651176,352.8470000000001,3.425200000000002,0.0,7.0,69.9,6.0,2.0,1.0,1.0,1.0,8.0,3.0,23.0,1.0,1.0,0.0,122.0,0.0,1.0,0.0,0
658171,328.3930000000002,3.3571800000000023,0.0,6.0,76.12,4.0,2.0,0.0,2.0,0.0,6.0,3.0,23.0,1.0,1.0,0.0,118.0,0.0,2.0,0.0,0
665361,464.54700000000025,2.7573100000000004,1.0,8.0,106.52,4.0,4.0,1.0,3.0,1.0,9.0,5.0,33.0,1.0,0.0,1.0,170.0,0.0,4.0,0.0,0
183351,116.11999999999998,-1.0648000000000006,2.0,3.0,66.56,0.0,0.0,0.0,0.0,1.0,4.0,1.0,8.0,1.0,0.0,1.0,46.0,0.0,1.0,1.0,0
3240402,499.6590000000004,1.0255200000000022,1.0,9.0,113.84,11.0,2.0,0.0,2.0,1.0,12.0,3.0,33.0,1.0,0.0,1.0,184.0,0.0,3.0,1.0,0
893505,308.38800000000003,2.0516,1.0,6.0,84.31,3.0,2.0,1.0,1.0,0.0,8.0,3.0,20.0,1.0,0.0,1.0,104.0,0.0,2.0,0.0,0
1891182,388.2460000000001,3.0296200000000013,0.0,6.0,60.400000000000006,2.0,4.0,1.0,3.0,0.0,7.0,4.0,23.0,0.0,0.0,0.0,114.0,0.0,3.0,0.0,0
3234190,369.47500000000014,3.4566000000000017,1.0,8.0,72.7,5.0,4.0,0.0,4.0,0.0,8.0,4.0,25.0,0.0,0.0,0.0,126.0,0.0,4.0,0.0,0
2093872,274.309,1.4499399999999998,1.0,7.0,85.07000000000001,2.0,3.0,0.0,3.0,0.0,8.0,3.0,19.0,0.0,0.0,0.0,96.0,0.0,3.0,1.0,0
16758760,626.6120000000002,-0.7850999999999932,2.0,15.0,213.86,8.0,0.0,0.0,0.0,4.0,16.0,4.0,44.0,4.0,2.0,2.0,244.0,0.0,2.0,2.0,0
135450658,394.4780000000002,1.93102,2.0,8.0,114.04,6.0,2.0,0.0,2.0,0.0,10.0,3.0,26.0,1.0,1.0,0.0,138.0,0.0,2.0,1.0,0
3620360,296.3230000000001,0.7141,1.0,6.0,84.94,5.0,1.0,1.0,0.0,1.0,7.0,2.0,21.0,1.0,0.0,1.0,116.0,0.0,1.0,1.0,0
3241408,451.59600000000006,3.3015000000000017,1.0,7.0,71.64,10.0,4.0,1.0,3.0,0.0,8.0,4.0,32.0,0.0,0.0,0.0,168.0,0.0,3.0,1.0,0
651144,365.3890000000001,2.763720000000001,1.0,6.0,90.29,4.0,3.0,1.0,2.0,0.0,7.0,3.0,27.0,0.0,0.0,0.0,138.0,0.0,2.0,1.0,0
2920510,383.47300000000007,3.6385000000000014,1.0,6.0,77.25,8.0,3.0,2.0,1.0,0.0,7.0,3.0,27.0,0.0,0.0,0.0,140.0,0.0,1.0,1.0,0
1086635,317.374,1.74264,1.0,7.0,85.32000000000001,5.0,3.0,0.0,3.0,0.0,8.0,3.0,22.0,0.0,0.0,0.0,114.0,0.0,3.0,1.0,0
648292,335.3890000000001,1.2202999999999995,1.0,8.0,91.16,7.0,2.0,1.0,1.0,0.0,9.0,3.0,23.0,1.0,0.0,1.0,122.0,0.0,2.0,1.0,0
2982548,268.313,0.0188000000000003,0.0,5.0,66.92000000000002,3.0,0.0,0.0,0.0,2.0,6.0,2.0,19.0,2.0,0.0,2.0,106.0,0.0,2.0,2.0,0
4936,350.4800000000001,3.919200000000002,0.0,4.0,44.760000000000005,6.0,1.0,1.0,0.0,1.0,5.0,2.0,24.0,1.0,1.0,0.0,132.0,0.0,0.0,0.0,0
3236464,328.39000000000004,0.5731000000000002,2.0,5.0,101.57,7.0,1.0,1.0,0.0,0.0,8.0,1.0,22.0,0.0,0.0,0.0,122.0,0.0,0.0,2.0,0
1319630,412.4900000000002,2.948100000000001,0.0,6.0,60.25,6.0,3.0,2.0,1.0,1.0,8.0,4.0,29.0,1.0,0.0,1.0,150.0,0.0,2.0,1.0,0
2219871,305.359,1.3407999999999998,1.0,4.0,79.37,5.0,2.0,1.0,1.0,0.0,7.0,2.0,21.0,0.0,0.0,0.0,110.0,0.0,1.0,1.0,0
654018,178.147,1.3679,2.0,3.0,79.11999999999999,2.0,2.0,0.0,2.0,0.0,5.0,2.0,13.0,0.0,0.0,0.0,66.0,0.0,2.0,0.0,0
7505,103.12399999999997,1.55828,0.0,1.0,23.79,0.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0
3238825,438.9340000000001,4.167400000000003,1.0,4.0,48.470000000000006,6.0,3.0,2.0,1.0,1.0,7.0,4.0,31.0,1.0,0.0,1.0,160.0,0.0,2.0,1.0,0
2998422,326.444,3.5408000000000017,2.0,3.0,58.95,7.0,2.0,1.0,1.0,0.0,5.0,2.0,24.0,0.0,0.0,0.0,128.0,0.0,1.0,2.0,0
11972251,412.4860000000001,2.2596,2.0,6.0,80.26,4.0,1.0,1.0,0.0,3.0,7.0,6.0,30.0,5.0,1.0,4.0,160.0,1.0,4.0,0.0,0
2857421,349.2610000000001,3.774400000000004,0.0,3.0,25.24,2.0,2.0,1.0,1.0,1.0,5.0,4.0,23.0,2.0,0.0,2.0,120.0,0.0,3.0,0.0,0
880829,341.48,4.162210000000004,0.0,5.0,38.13,4.0,2.0,1.0,1.0,1.0,5.0,3.0,24.0,1.0,0.0,1.0,126.0,0.0,2.0,0.0,0
776754,278.311,3.495700000000001,1.0,3.0,51.22,3.0,3.0,2.0,1.0,0.0,4.0,3.0,21.0,0.0,0.0,0.0,104.0,0.0,1.0,1.0,0
3239666,387.52400000000006,3.320400000000002,1.0,4.0,71.53,7.0,1.0,0.0,1.0,2.0,6.0,3.0,28.0,2.0,1.0,1.0,154.0,0.0,2.0,2.0,0
645048,408.4980000000003,3.213420000000002,1.0,6.0,63.93000000000001,7.0,3.0,2.0,1.0,1.0,6.0,4.0,30.0,1.0,0.0,1.0,158.0,0.0,2.0,0.0,0
1238329,470.5910000000002,4.182300000000003,0.0,7.0,77.84,7.0,3.0,2.0,1.0,1.0,8.0,4.0,33.0,1.0,0.0,1.0,176.0,0.0,2.0,0.0,0
3245058,413.5000000000002,0.5475000000000008,2.0,6.0,124.70000000000002,5.0,1.0,0.0,1.0,2.0,11.0,3.0,28.0,2.0,0.0,2.0,156.0,0.0,3.0,2.0,0
2235773,439.37500000000006,3.354300000000002,0.0,4.0,49.85000000000001,6.0,2.0,2.0,0.0,1.0,7.0,3.0,26.0,1.0,0.0,1.0,140.0,0.0,1.0,0.0,0
