PUBCHEM_CID,SMILES,Label
118045470,Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4ccccc4)cc3)n2)cn1,1
2261366,O=C(c1ccccc1)N1CCN(c2ccccc2F)CC1,0
645242,Cc1nnc(NS(C)(=O)=O)s1,0
2284358,CCNC(=O)CN(C1CCCCC1)S(=O)(=O)c1ccc(F)cc1,0
135421517,CCC/C(O)=C1\C(=O)CC(C)(C)CC1=NCCO,0
828950,N#CCn1nnc(-c2ccc3c(c2)OCO3)n1,0
664813,Cc1cc(C)n(-c2c(F)c(F)c(CN3CCOCC3)c(F)c2F)n1,0
665127,CCN1C(=O)C2(Nc3ccccc3-c3nc4ccccc4n32)c2cc(OC)ccc21,0
644451,O=C(NCC(=O)N(c1cccnc1)C(C(=O)NC1CCCCC1)c1cccnc1)c1ccco1,0
967576,COC(=O)c1ccccc1NC(=O)c1ccc(NS(C)(=O)=O)cc1,0
666057,COc1ccccc1-c1nnc2sc(COc3ccc(F)cc3)nn12,0
655542,CC(=O)NC1CC2CCCC(C1)N2CC(=O)Nc1ccccc1,0
3243776,CCN1C(=O)c2ccccc2Sc2ccc(C(=O)N3CCC4(CC3)OCCO4)cc21,0
118395254,COC(=O)Nc1n[nH]c2cc(NC(=O)N[C@H]3c4ccccc4OCC[C@H]3O)ncc12,1
3232829,N#Cc1ccccc1-c1nc(NCCN2CCOCC2)c2ccccc2n1,0
135485433,Cc1ccccc1CSc1nc2c(c(=O)[nH]1)CCC2,0
5309436,Cc1ccccc1NC(=O)C1CCCN1S(=O)(=O)c1cccc2cccnc12,0
830687,CCOC(=O)c1c(C)nc(-c2ccccc2)nc1NC(=O)CC,0
16759065,CC12C=C(/C=C/c3ccc(Br)cc3)C(C)(C1)C(c1ccc(Br)cc1)CC2=O,0
5459414,CC(C)c1cccc2nc3c(c([Si](C)(C)C)c12)Cn1c-3cccc1=O,0
118380778,COC[C@@H](NC(=O)Nc1cc2[nH]nc(NC3CC3)c2cn1)c1ccccc1,1
2970251,COc1cccc2cc(C(=O)NC(C)C3CCCO3)c(=O)oc12,0
5307204,CCN1CCN(CCNC(=O)C2CCN(Cc3nc(-c4ccc(Cl)cc4)oc3C)CC2)CC1,0
619348,O=C1Cn2c(nc3ccccc32)-c2ccccc2N1,0
443158,C=C[C@](C)(O)CCC=C(C)C,0
654831,O=C(CSc1ncn[nH]1)Nc1ccccc1C(=O)O,0
1071278,COC(=O)CN(c1ccc(F)cc1)S(=O)(=O)c1ccc2c(c1)OCCO2,0
3239607,COc1ccc(OC)c(NC(=O)CSc2nnc(CNC(=O)c3ccco3)o2)c1,0
11949182,COC(=O)c1ccc(C23CC4(C2)[C@H](CN(C)[C@@H]4c2ccccc2)C3c2ccc(C(F)(F)F)cc2)cc1,0
645576,COC(=O)CC(=O)CSc1nc(C)cc(C)c1C#N,0
16758785,C[C@@H](c1ccccc1)N1C(=O)[C@@H]2[C@H]3C(=CC[C@H]2C1=O)C(=O)[C@H]1O[C@H]1[C@H]3O,0
653172,CCOC(=O)c1nnc2cc(-c3ccc(Br)cc3)nn2c1C,0
649081,Cc1ccc(OCC(O)CNS(=O)(=O)c2ccccc2C(=O)N2CCCCC2)cc1,0
2221407,CN(Cc1ccccc1)C(=O)c1ccccc1NC(=O)c1ccco1,0
