PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
118045470,414.4690000000001,2.589700000000001,3.0,7.0,118.95,6.0,4.0,2.0,2.0,0.0,8.0,4.0,31.0,0.0,0.0,0.0,156.0,0.0,2.0,1.0,1
2261366,284.33400000000006,2.788100000000001,0.0,2.0,23.550000000000004,2.0,2.0,2.0,0.0,1.0,4.0,3.0,21.0,1.0,0.0,1.0,108.0,0.0,1.0,1.0,0
645242,193.253,0.2180199999999998,1.0,5.0,71.95,2.0,1.0,0.0,1.0,0.0,7.0,1.0,11.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,0
2284358,342.436,2.2852,1.0,3.0,66.48,6.0,1.0,1.0,0.0,1.0,7.0,2.0,23.0,1.0,1.0,0.0,128.0,0.0,0.0,1.0,0
135421517,253.342,2.4210000000000007,2.0,4.0,69.89,4.0,0.0,0.0,0.0,1.0,4.0,1.0,18.0,1.0,1.0,0.0,102.0,0.0,0.0,0.0,0
828950,229.199,0.5923799999999997,0.0,7.0,85.85000000000001,2.0,2.0,1.0,1.0,0.0,7.0,3.0,17.0,1.0,0.0,1.0,84.0,0.0,2.0,0.0,0
664813,343.324,2.877740000000001,0.0,4.0,30.29,3.0,2.0,1.0,1.0,1.0,8.0,3.0,24.0,1.0,0.0,1.0,130.0,0.0,2.0,0.0,0
665127,396.45000000000016,4.205000000000003,1.0,5.0,59.39,2.0,4.0,3.0,1.0,0.0,6.0,6.0,30.0,2.0,0.0,2.0,148.0,1.0,3.0,1.0,0
644451,461.52200000000033,3.022800000000001,2.0,6.0,117.43,8.0,3.0,0.0,3.0,1.0,9.0,4.0,34.0,1.0,1.0,0.0,176.0,0.0,3.0,3.0,0
967576,348.38000000000005,2.0969999999999995,2.0,5.0,101.57,5.0,2.0,2.0,0.0,0.0,8.0,2.0,24.0,0.0,0.0,0.0,126.0,0.0,0.0,1.0,0
666057,356.382,3.579500000000002,0.0,7.0,61.540000000000006,5.0,4.0,2.0,2.0,0.0,8.0,4.0,25.0,0.0,0.0,0.0,126.0,0.0,2.0,0.0,0
655542,315.417,2.1467,2.0,3.0,61.440000000000005,4.0,1.0,1.0,0.0,2.0,5.0,3.0,23.0,2.0,0.0,2.0,124.0,0.0,2.0,2.0,0
3243776,424.52200000000033,3.7970000000000033,0.0,5.0,59.08000000000001,2.0,2.0,2.0,0.0,2.0,7.0,5.0,30.0,3.0,0.0,3.0,156.0,1.0,3.0,2.0,0
118395254,412.4060000000002,2.1424000000000003,5.0,7.0,150.49,3.0,3.0,1.0,2.0,0.0,11.0,4.0,30.0,1.0,0.0,1.0,156.0,0.0,3.0,3.0,1
3232829,359.433,2.912580000000001,1.0,6.0,74.07000000000001,5.0,3.0,2.0,1.0,1.0,6.0,4.0,27.0,1.0,0.0,1.0,136.0,0.0,2.0,0.0,0
135485433,272.37300000000005,2.859320000000001,1.0,3.0,45.75,3.0,2.0,1.0,1.0,0.0,4.0,3.0,19.0,1.0,1.0,0.0,98.0,0.0,1.0,0.0,0
5309436,395.4840000000001,3.335020000000002,1.0,4.0,79.37,4.0,3.0,2.0,1.0,1.0,7.0,4.0,28.0,1.0,0.0,1.0,144.0,0.0,2.0,1.0,0
830687,313.35700000000014,2.977220000000001,1.0,5.0,81.18,5.0,2.0,1.0,1.0,0.0,6.0,2.0,23.0,0.0,0.0,0.0,120.0,0.0,1.0,1.0,0
16759065,486.2470000000002,7.324100000000006,0.0,1.0,17.07,3.0,2.0,2.0,0.0,1.0,3.0,4.0,27.0,2.0,2.0,0.0,138.0,0.0,0.0,0.0,0
5459414,348.52200000000005,4.093800000000003,0.0,3.0,34.89,2.0,3.0,1.0,2.0,0.0,4.0,4.0,25.0,1.0,0.0,1.0,128.0,0.0,3.0,0.0,0
118380778,366.42500000000007,3.041400000000001,4.0,5.0,103.96,7.0,3.0,1.0,2.0,1.0,8.0,4.0,27.0,1.0,1.0,0.0,140.0,0.0,2.0,2.0,1
2970251,317.34100000000007,2.0988999999999995,1.0,5.0,77.77,4.0,2.0,1.0,1.0,1.0,6.0,3.0,23.0,1.0,0.0,1.0,122.0,0.0,2.0,1.0,0
5307204,474.0490000000003,3.269120000000002,1.0,6.0,64.85,8.0,2.0,1.0,1.0,2.0,8.0,4.0,33.0,2.0,0.0,2.0,180.0,0.0,3.0,1.0,0
619348,249.273,2.6554,1.0,3.0,46.92,0.0,3.0,2.0,1.0,0.0,4.0,4.0,19.0,1.0,0.0,1.0,92.0,0.0,2.0,1.0,0
443158,154.253,2.6698000000000013,1.0,1.0,20.23,4.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0
654831,278.29300000000006,1.2336999999999998,3.0,5.0,107.97,5.0,2.0,1.0,1.0,0.0,8.0,2.0,19.0,0.0,0.0,0.0,98.0,0.0,1.0,1.0,0
1071278,381.3810000000002,1.9652,0.0,6.0,82.14,5.0,2.0,2.0,0.0,0.0,9.0,3.0,26.0,1.0,0.0,1.0,138.0,0.0,1.0,0.0,0
3239607,418.43100000000015,2.3406,2.0,9.0,128.72,9.0,3.0,1.0,2.0,0.0,11.0,3.0,29.0,0.0,0.0,0.0,152.0,0.0,2.0,2.0,0
11949182,491.55300000000005,6.610300000000007,0.0,3.0,29.54,4.0,3.0,3.0,0.0,4.0,6.0,7.0,36.0,4.0,3.0,1.0,186.0,1.0,1.0,0.0,0
645576,278.333,1.79442,0.0,6.0,80.05000000000001,5.0,1.0,0.0,1.0,0.0,6.0,1.0,19.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0
16758785,353.374,1.0061,1.0,5.0,87.21000000000001,2.0,1.0,1.0,0.0,3.0,6.0,5.0,26.0,4.0,2.0,2.0,134.0,0.0,2.0,2.0,0
653172,361.19900000000007,3.038920000000002,0.0,6.0,69.38,3.0,3.0,1.0,2.0,0.0,7.0,3.0,22.0,0.0,0.0,0.0,112.0,0.0,2.0,0.0,0
649081,432.5420000000003,2.33932,2.0,5.0,95.93999999999998,8.0,2.0,2.0,0.0,1.0,8.0,3.0,30.0,1.0,0.0,1.0,162.0,0.0,1.0,1.0,0
2221407,334.37500000000006,3.804100000000002,1.0,3.0,62.55,5.0,3.0,2.0,1.0,0.0,5.0,3.0,25.0,0.0,0.0,0.0,126.0,0.0,1.0,2.0,0
659737,289.4190000000001,2.840200000000001,0.0,3.0,29.54,2.0,0.0,0.0,0.0,7.0,3.0,7.0,21.0,7.0,4.0,3.0,116.0,0.0,3.0,0.0,0
619837,252.273,3.412200000000001,0.0,4.0,48.150000000000006,3.0,3.0,2.0,1.0,0.0,4.0,3.0,19.0,0.0,0.0,0.0,94.0,0.0,1.0,0.0,0
651263,329.40700000000004,2.11684,1.0,5.0,100.63,2.0,1.0,1.0,0.0,0.0,5.0,3.0,25.0,2.0,1.0,1.0,124.0,0.0,1.0,0.0,0
659105,309.34700000000004,2.03804,3.0,6.0,112.41,6.0,2.0,0.0,2.0,0.0,8.0,2.0,21.0,0.0,0.0,0.0,112.0,0.0,2.0,0.0,0
3233215,339.414,3.353400000000001,0.0,3.0,36.440000000000005,2.0,2.0,1.0,1.0,2.0,5.0,4.0,25.0,2.0,0.0,2.0,130.0,1.0,3.0,1.0,0
3234045,268.40099999999995,2.586800000000001,0.0,3.0,32.78,2.0,0.0,0.0,0.0,2.0,4.0,2.0,19.0,2.0,0.0,2.0,110.0,1.0,2.0,1.0,0
3244010,363.51400000000007,4.941700000000001,1.0,7.0,54.88,3.0,4.0,1.0,3.0,0.0,8.0,4.0,22.0,0.0,0.0,0.0,110.0,0.0,3.0,1.0,0
118365417,391.43500000000006,3.116100000000002,3.0,6.0,109.75,7.0,4.0,1.0,3.0,0.0,9.0,4.0,29.0,0.0,0.0,0.0,148.0,0.0,3.0,2.0,1
5308477,435.5490000000001,3.6133000000000033,0.0,4.0,70.58000000000001,3.0,3.0,2.0,1.0,1.0,7.0,5.0,31.0,2.0,0.0,2.0,160.0,0.0,3.0,1.0,0
5213,482.4410000000002,2.3627,5.0,10.0,155.14,4.0,3.0,3.0,0.0,0.0,10.0,5.0,35.0,2.0,0.0,2.0,182.0,0.0,2.0,0.0,0
4646,228.251,2.0292,1.0,3.0,55.12,4.0,2.0,1.0,1.0,0.0,4.0,2.0,17.0,0.0,0.0,0.0,86.0,0.0,1.0,0.0,0
660492,297.196,2.873500000000001,1.0,2.0,32.34,4.0,1.0,1.0,0.0,1.0,4.0,2.0,17.0,1.0,0.0,1.0,92.0,0.0,1.0,1.0,0
118047123,507.58500000000026,4.292400000000003,2.0,6.0,93.37,6.0,3.0,2.0,1.0,2.0,9.0,5.0,37.0,2.0,0.0,2.0,194.0,0.0,3.0,1.0,1
654834,246.27000000000004,1.21162,0.0,6.0,69.9,4.0,2.0,1.0,1.0,0.0,6.0,2.0,18.0,0.0,0.0,0.0,94.0,0.0,1.0,0.0,0
135449532,204.233,0.88086,1.0,4.0,63.57,1.0,2.0,0.0,2.0,0.0,5.0,2.0,15.0,0.0,0.0,0.0,78.0,0.0,2.0,0.0,0
