PUBCHEM_CID,SMILES,Label
660804,Cc1cc(C)cc(N2C(=O)CSC2c2cccs2)c1,0
16758358,COC(=O)[C@H](CCSC)NC(=O)C/C=C\[C@@H](C)[C@@H](CO)OC,0
662195,COc1ccccc1C(CCN(Cc1cccs1)C(C)=O)c1ccco1,0
307746,Cc1ccc(C)c(NC(=O)NCc2ccc(Cl)cc2)c1,0
2163016,CCOCC(=O)Nc1ccc(F)c(F)c1,0
2958833,O=C1CC(N(Cc2ccco2)C(=O)Nc2ccc(F)cc2)C(=O)N1c1ccc(F)cc1,0
656103,O=C(NC1CCN(C(=O)NC2CCCCC2)CC1)c1ccco1,0
2918615,CC(NC(=O)c1ccco1)c1ccc2c(c1)OCCO2,0
3238403,O=C(CCn1c(=S)[nH]c2cc3c(cc2c1=O)OCO3)N1CCN(C2CCCCC2)CC1,0
3244529,CC(=O)NCCn1c(SCC(=O)NCCC2=CCCCC2)nc2ccccc2c1=O,0
79418,C1CNC2NCCNC2N1,0
1246396,O=C(NCc1ccco1)c1cc2c(s1)CCCCC2,0
3235957,COC(=O)Cn1c(=NC(=O)CSCC(=O)NC2CCCCC2)sc2cc(OC)ccc21,0
773777,Cc1cc(C)n(-c2cccc3cccnc23)n1,0
3246268,CC(C)[C@@]12CC[C@@]3(CC[C@H]4[C@@](C)(CCC[C@]4(C)C(=O)O)[C@@H]3C1)[C@@H](CN)C2,0
755828,COCc1cc(C)nc(SCC(=O)Nc2cccc(C)c2)c1C#N,0
705284,CCOc1ccccc1NC(=O)c1cc(CC(C)C)oc1C,0
2998353,CC(C)CCNC(=O)NC(=O)COC(=O)C1=COCCO1,0
557765,CN(C)C=Nc1nonc1-c1ncn[nH]1,0
2857625,O=C(O)CN1C(=O)Nc2ccc(Br)cc2C1c1ccccc1,0
3234919,COc1ccccc1-c1ccc2ncnc(NCc3cnc(C)cn3)c2c1,1
99652,CNc1ccccc1C(=O)N1CCc2c([nH]c3ccccc23)C1=O,0
1618256,CCCCC(=O)Nc1ccc(N2CCN(S(C)(=O)=O)CC2)cc1,0
2102567,CCCCn1nc(C(=O)N2CCc3ccccc32)c2ccccc2c1=O,0
2998424,CC(C)(C)c1ccccc1NC(=O)c1ccco1,0
3240633,O=C(c1cc2nc3c(c(C(F)(F)F)n2n1)CCc1ccccc1-3)N1CCN2CCCC2C1,0
2975261,CCCCOc1ccccc1C1C(C(N)=O)=C(C)Nc2nnnn21,0
663112,CCn1c(SCC(=O)Nc2cc(C)ccc2C)nnc1-c1cnccn1,0
665724,O=C(O)C1CCN(C(=O)COc2ccc3c4c(c(=O)oc3c2)CCC4)CC1,0
335083,Clc1ccc2c(N3CCC(CCC4CCN(c5ncnc6cc(Cl)ccc56)CC4)CC3)ncnc2c1,0
667117,COc1ccc2ccccc2c1C1CC(=O)N2CN(C)CSC2=C1C#N,0
3240587,Cc1ccc(-n2nnc3c(=O)n(CC(=O)N4CCCC4)cnc32)cc1,0
663848,Cc1c(C(O)CN2CCN(Cc3ccc4c(c3)OCO4)CC2)c2ccccc2n1C,0
5309006,CCCN1CCN(CCCNC(=O)c2cc3c(=O)n(C)c4ccccc4c3n2C)CC1,0
3234152,COc1ccc(NC(=O)N2CCCC3(CCN(C(=O)c4cnccn4)CC3)C2)cc1,0
5307377,COc1ccc(NC(=O)CSc2nnc(Cn3c(=O)sc4ccccc43)n2C)cc1,0
3233405,c1ccc(N2CC[C@@]3(CCCNC3)C2)nc1,0
135410570,COc1ccc(C(=O)NCCc2nnc(SCc3nc4ccccc4c(=O)[nH]3)n2C)cc1,0
3241011,CCN(CC)CCn1c(=S)[nH]c2ccc(Cl)cc2c1=O,0
644896,CCCCCOC(=O)Cn1c(N2CCCCCC2)nc2c1c(=O)[nH]c(=O)n2C,0
3240770,O=C(NCC(c1cccnc1)N1CCN(c2ccccc2F)CC1)Oc1ccccc1,0
