PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
118045470,414.4690000000001,2.589700000000001,3.0,7.0,118.95,6.0,4.0,2.0,2.0,0.0,8.0,4.0,31.0,0.0,0.0,0.0,156.0,0.0,2.0,1.0,1
664813,343.324,2.877740000000001,0.0,4.0,30.29,3.0,2.0,1.0,1.0,1.0,8.0,3.0,24.0,1.0,0.0,1.0,130.0,0.0,2.0,0.0,0
644451,461.52200000000033,3.022800000000001,2.0,6.0,117.43,8.0,3.0,0.0,3.0,1.0,9.0,4.0,34.0,1.0,1.0,0.0,176.0,0.0,3.0,3.0,0
666057,356.382,3.579500000000002,0.0,7.0,61.540000000000006,5.0,4.0,2.0,2.0,0.0,8.0,4.0,25.0,0.0,0.0,0.0,126.0,0.0,2.0,0.0,0
118365417,391.43500000000006,3.116100000000002,3.0,6.0,109.75,7.0,4.0,1.0,3.0,0.0,9.0,4.0,29.0,0.0,0.0,0.0,148.0,0.0,3.0,2.0,1
608956,248.32199999999992,3.371800000000002,1.0,2.0,46.53,5.0,1.0,1.0,0.0,1.0,3.0,2.0,18.0,1.0,1.0,0.0,98.0,0.0,0.0,0.0,0
3233601,396.83800000000025,2.25718,0.0,8.0,96.93,4.0,3.0,1.0,2.0,1.0,9.0,4.0,28.0,1.0,0.0,1.0,142.0,0.0,3.0,0.0,0
1101504,362.36,4.894800000000003,1.0,4.0,64.36,4.0,4.0,3.0,1.0,0.0,6.0,4.0,27.0,0.0,0.0,0.0,134.0,0.0,1.0,1.0,0
898934,332.36300000000006,3.536900000000002,0.0,6.0,69.78,4.0,4.0,2.0,2.0,0.0,6.0,4.0,25.0,0.0,0.0,0.0,124.0,0.0,2.0,0.0,0
2977455,297.38300000000004,4.293320000000004,0.0,5.0,51.81,4.0,3.0,1.0,2.0,0.0,5.0,3.0,21.0,0.0,0.0,0.0,106.0,0.0,2.0,0.0,0
156600506,714.797,3.694080000000003,2.0,10.0,135.31,6.0,3.0,1.0,2.0,4.0,15.0,8.0,52.0,5.0,1.0,4.0,272.0,1.0,6.0,2.0,1
73505440,364.4530000000001,3.611500000000002,3.0,4.0,85.94000000000001,4.0,3.0,1.0,2.0,0.0,7.0,4.0,27.0,1.0,0.0,1.0,140.0,0.0,3.0,2.0,1
6604204,298.42600000000004,3.4925000000000024,1.0,2.0,37.3,0.0,0.0,0.0,0.0,3.0,2.0,4.0,22.0,4.0,4.0,0.0,118.0,0.0,0.0,0.0,0
3815185,293.75,3.1670200000000017,2.0,2.0,66.4,3.0,1.0,1.0,0.0,0.0,5.0,2.0,20.0,1.0,1.0,0.0,106.0,0.0,0.0,1.0,0
414067,228.20800000000003,-1.6953999999999985,2.0,4.0,99.76,5.0,2.0,0.0,2.0,0.0,8.0,2.0,16.0,0.0,0.0,0.0,86.0,0.0,2.0,0.0,0
2999141,491.5920000000002,2.473,2.0,8.0,113.65999999999995,7.0,3.0,2.0,1.0,1.0,9.0,4.0,36.0,1.0,0.0,1.0,190.0,0.0,2.0,0.0,0
715023,312.778,2.6855,1.0,4.0,68.28999999999999,5.0,2.0,1.0,1.0,0.0,7.0,2.0,20.0,0.0,0.0,0.0,106.0,0.0,1.0,0.0,0
3234505,298.73300000000006,2.8418,0.0,5.0,60.67,2.0,3.0,1.0,2.0,1.0,6.0,4.0,21.0,1.0,1.0,0.0,104.0,0.0,2.0,0.0,0
129077876,549.0710000000004,4.495420000000004,3.0,6.0,103.79,8.0,3.0,2.0,1.0,1.0,9.0,5.0,39.0,2.0,0.0,2.0,204.0,0.0,3.0,2.0,1
846730,237.368,2.859320000000001,1.0,2.0,29.1,5.0,1.0,1.0,0.0,0.0,3.0,1.0,16.0,0.0,0.0,0.0,88.0,0.0,0.0,1.0,0
612424,217.319,1.24079,2.0,5.0,60.05,2.0,1.0,0.0,1.0,0.0,6.0,1.0,13.0,0.0,0.0,0.0,72.0,0.0,1.0,1.0,0
834797,226.279,2.0541,1.0,2.0,41.99,4.0,2.0,1.0,1.0,0.0,3.0,2.0,17.0,0.0,0.0,0.0,86.0,0.0,1.0,1.0,0
660812,305.3300000000001,1.8306,0.0,5.0,65.07000000000001,3.0,1.0,1.0,0.0,1.0,6.0,3.0,22.0,2.0,0.0,2.0,118.0,0.0,2.0,1.0,0
5309390,471.5640000000002,2.987800000000002,1.0,10.0,100.27,8.0,4.0,2.0,2.0,0.0,11.0,4.0,32.0,0.0,0.0,0.0,166.0,0.0,2.0,1.0,0
3162449,299.37,3.0844000000000014,1.0,3.0,55.4,3.0,1.0,1.0,0.0,0.0,4.0,3.0,22.0,2.0,1.0,1.0,116.0,0.0,1.0,1.0,0
5771523,216.708,2.894800000000001,1.0,1.0,37.3,2.0,0.0,0.0,0.0,2.0,3.0,2.0,14.0,2.0,2.0,0.0,80.0,0.0,0.0,0.0,0
2200182,444.9220000000001,5.552780000000005,0.0,5.0,75.06,8.0,4.0,2.0,2.0,0.0,7.0,4.0,32.0,0.0,0.0,0.0,160.0,0.0,2.0,1.0,0
889990,295.382,2.851400000000001,0.0,2.0,29.540000000000003,3.0,2.0,2.0,0.0,1.0,3.0,3.0,22.0,1.0,0.0,1.0,114.0,0.0,1.0,1.0,0
2970927,348.4680000000002,2.0903,0.0,4.0,49.85000000000001,2.0,1.0,0.0,1.0,2.0,6.0,4.0,24.0,3.0,1.0,2.0,130.0,0.0,3.0,2.0,0
3000140,309.394,3.5314000000000023,0.0,5.0,47.78,5.0,3.0,2.0,1.0,0.0,5.0,3.0,22.0,0.0,0.0,0.0,110.0,0.0,1.0,0.0,0
135400037,360.4610000000001,2.9957200000000013,1.0,4.0,52.23,4.0,3.0,2.0,1.0,1.0,5.0,4.0,27.0,1.0,0.0,1.0,138.0,0.0,2.0,0.0,0
3243406,434.5140000000003,2.2728200000000003,0.0,7.0,91.1,6.0,2.0,1.0,1.0,2.0,9.0,4.0,30.0,2.0,0.0,2.0,162.0,1.0,3.0,1.0,0
4682093,337.39700000000005,2.4003000000000005,1.0,5.0,85.61,6.0,2.0,1.0,1.0,0.0,7.0,2.0,23.0,0.0,0.0,0.0,124.0,0.0,1.0,1.0,0
2532675,337.3450000000001,3.0063000000000013,0.0,3.0,28.480000000000004,2.0,2.0,1.0,1.0,1.0,7.0,3.0,24.0,1.0,0.0,1.0,128.0,0.0,2.0,1.0,0
6509750,348.4270000000001,2.0265000000000004,0.0,5.0,51.96,2.0,3.0,1.0,2.0,1.0,5.0,4.0,25.0,1.0,1.0,0.0,124.0,0.0,2.0,0.0,0
3244124,473.59900000000033,1.275320000000001,0.0,8.0,95.94,7.0,2.0,1.0,1.0,2.0,10.0,4.0,33.0,2.0,0.0,2.0,178.0,0.0,3.0,1.0,0
3247366,421.518,4.182300000000003,1.0,4.0,72.47,7.0,3.0,3.0,0.0,1.0,6.0,4.0,30.0,1.0,1.0,0.0,154.0,0.0,0.0,0.0,0
91851,222.204,-0.0972800000000002,1.0,6.0,89.35,2.0,2.0,0.0,2.0,0.0,7.0,2.0,16.0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0
653322,362.4260000000002,2.6830000000000007,2.0,5.0,85.89000000000001,9.0,1.0,1.0,0.0,0.0,7.0,2.0,26.0,1.0,0.0,1.0,142.0,0.0,1.0,2.0,0
